id,group,n_evidence,in_corpus,in_graph,missing_rows,corpus_pct,graph_pct
G5000-26,multi-hop,2,2,2,[],1.0,1.0
G5000-27,cross-doc,2,2,2,[],1.0,1.0
G5000-28,multi-hop,1,1,1,[],1.0,1.0
G5000-29,cross-doc,2,2,2,[],1.0,1.0
G5000-30,multi-hop,2,2,2,[],1.0,1.0
G5000-31,multi-hop,4,4,4,[],1.0,1.0
G5000-32,cross-doc,2,2,2,[],1.0,1.0
G5000-33,cross-doc,2,2,2,[],1.0,1.0
G5000-34,multi-hop,3,3,3,[],1.0,1.0
G5000-35,cross-doc,2,2,2,[],1.0,1.0
G5000-36,cross-doc,2,2,2,[],1.0,1.0
G5000-37,cross-doc,2,2,2,[],1.0,1.0
G5000-38,multi-hop,3,3,3,[],1.0,1.0
G5000-39,multi-hop,2,2,2,[],1.0,1.0
G5000-40,cross-doc,2,2,2,[],1.0,1.0
G5000-41,factoid,1,1,1,[],1.0,1.0
G5000-42,multi-hop,2,2,2,[],1.0,1.0
G5000-43,cross-doc,2,2,2,[],1.0,1.0
G5000-44,multi-hop,3,3,3,[],1.0,1.0
G5000-45,cross-doc,2,2,2,[],1.0,1.0
G5000-46,cross-doc,2,2,2,[],1.0,1.0
G5000-47,factoid,1,1,1,[],1.0,1.0
G5000-48,multi-hop,3,3,3,[],1.0,1.0
G5000-49,multi-hop,3,3,3,[],1.0,1.0
G5000-50,multi-hop,3,3,3,[],1.0,1.0
